sequence_id,label,label_name,motif_combo,num_selected_motifs,SP2,ZBED4,EGR1,ELK3,TFDP1,ZNF131,split
test_negative_10237,0,negative,none,0,0,0,0,0,0,0,train
test_negative_5500,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4883,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3303,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9788,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002100,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP018664,1,positive,none,0,0,0,0,0,0,0,train
test_negative_510,0,negative,EGR1,1,0,0,1,0,0,0,train
test_positive_FP008540,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_12208,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016072,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP001395,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2600,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13986,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14399,0,negative,none,0,0,0,0,0,0,0,train
test_negative_16383,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_6815,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15960,0,negative,none,0,0,0,0,0,0,0,train
test_negative_9470,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP000495,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003546,1,positive,none,0,0,0,0,0,0,0,train
train_negative_5891,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_12872,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6185,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP015100,1,positive,EGR1,1,0,0,1,0,0,0,train
train_positive_FP008541,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP017099,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1663,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP011184,1,positive,none,0,0,0,0,0,0,0,train
test_negative_2874,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1059,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12229,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000926,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP014356,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_negative_13052,0,negative,ELK3,1,0,0,0,1,0,0,train
train_positive_FP002156,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2263,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013076,1,positive,none,0,0,0,0,0,0,0,train
train_negative_16028,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12579,0,negative,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP015266,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP006676,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_9934,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000431,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2938,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000956,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_13181,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9499,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_11663,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012995,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_8667,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14786,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11757,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5383,0,negative,none,0,0,0,0,0,0,0,train
train_negative_582,0,negative,none,0,0,0,0,0,0,0,train
test_negative_12629,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3038,0,negative,none,0,0,0,0,0,0,0,train
test_negative_7202,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12716,0,negative,none,0,0,0,0,0,0,0,train
test_negative_7740,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP007616,1,positive,none,0,0,0,0,0,0,0,train
train_negative_3353,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7358,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP001444,1,positive,none,0,0,0,0,0,0,0,train
train_negative_14396,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016867,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_995,0,negative,TFDP1,1,0,0,0,0,1,0,train
test_negative_3576,0,negative,none,0,0,0,0,0,0,0,train
train_negative_625,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016723,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_2294,0,negative,none,0,0,0,0,0,0,0,train
test_negative_3752,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11365,0,negative,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP000422,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_11187,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_12268,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP017974,1,positive,none,0,0,0,0,0,0,0,train
train_negative_14995,0,negative,none,0,0,0,0,0,0,0,train
test_negative_1315,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP014692,1,positive,none,0,0,0,0,0,0,0,train
train_negative_579,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP003479,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_9286,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013176,1,positive,ZBED4,1,0,1,0,0,0,0,train
test_negative_1862,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP011126,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP005092,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_14407,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3225,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP015883,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
test_negative_6428,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP019432,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2289,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1828,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14968,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_5595,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP001954,1,positive,ZNF131,1,0,0,0,0,0,1,train
train_positive_FP019224,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_12469,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14615,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP005183,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2792,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013600,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP011392,1,positive,none,0,0,0,0,0,0,0,train
train_negative_10595,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5726,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9678,0,negative,SP2,1,1,0,0,0,0,0,train
test_positive_FP005004,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP002879,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_4218,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_11491,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP005939,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_11061,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2836,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13558,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006392,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP008663,1,positive,SP2,1,1,0,0,0,0,0,train
test_positive_FP008400,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11681,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16398,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_11056,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5335,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012704,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_8508,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP008571,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP014406,1,positive,none,0,0,0,0,0,0,0,train
train_negative_13360,0,negative,none,0,0,0,0,0,0,0,train
test_negative_4750,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009794,1,positive,none,0,0,0,0,0,0,0,train
test_negative_15432,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13178,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5272,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_432,0,negative,none,0,0,0,0,0,0,0,train
train_negative_575,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP000276,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11190,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_130,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP007863,1,positive,ZNF131,1,0,0,0,0,0,1,train
train_negative_5106,0,negative,SP2,1,1,0,0,0,0,0,train
test_negative_13911,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4174,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009525,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
test_positive_FP007285,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP005458,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12057,0,negative,none,0,0,0,0,0,0,0,train
train_negative_166,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP014542,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003801,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_4204,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9348,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3930,0,negative,SP2,1,1,0,0,0,0,0,train
test_negative_8674,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP005805,1,positive,none,0,0,0,0,0,0,0,train
test_negative_15325,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP006936,1,positive,ZBED4,1,0,1,0,0,0,0,train
test_negative_6086,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13470,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP019039,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP009814,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_726,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6171,0,negative,none,0,0,0,0,0,0,0,train
test_negative_2406,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP014117,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP013484,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP004659,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP019128,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP001408,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12783,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15392,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14369,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010365,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_105,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP019687,1,positive,none,0,0,0,0,0,0,0,train
train_negative_7374,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_negative_3620,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10175,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7223,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP015970,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
test_negative_7949,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8964,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12815,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP002602,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP019630,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
test_negative_11412,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP005333,1,positive,none,0,0,0,0,0,0,0,train
test_negative_7819,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP015927,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_15189,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7605,0,negative,SP2,1,1,0,0,0,0,0,train
test_positive_FP001621,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP010005,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_negative_8137,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10234,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7039,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012455,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP007050,1,positive,none,0,0,0,0,0,0,0,train
test_negative_2126,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13854,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP007858,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP006067,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_15577,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP010808,1,positive,none,0,0,0,0,0,0,0,train
train_negative_7280,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP008798,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP013977,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP017586,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8024,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP019216,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP004424,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP018886,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP001237,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP013334,1,positive,ZNF131,1,0,0,0,0,0,1,train
train_positive_FP000664,1,positive,ELK3,1,0,0,0,1,0,0,train
train_negative_10724,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP003103,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12544,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7888,0,negative,none,0,0,0,0,0,0,0,train
test_negative_3848,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_10958,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11988,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_negative_9096,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10440,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010667,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP000902,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP015298,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP011290,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_765,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16179,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP006940,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8033,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5440,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14304,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4996,0,negative,TFDP1,1,0,0,0,0,1,0,train
train_negative_8393,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006573,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP016750,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_10855,0,negative,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP018398,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP000660,1,positive,none,0,0,0,0,0,0,0,train
train_negative_6558,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_9721,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004222,1,positive,none,0,0,0,0,0,0,0,train
train_negative_9401,0,negative,none,0,0,0,0,0,0,0,train
test_negative_3865,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2665,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14623,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7480,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP013432,1,positive,EGR1,1,0,0,1,0,0,0,train
test_positive_FP004153,1,positive,none,0,0,0,0,0,0,0,train
train_negative_1341,0,negative,none,0,0,0,0,0,0,0,train
train_negative_668,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14314,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006004,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP006904,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP000366,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP016839,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_11280,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP002350,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP003013,1,positive,EGR1,1,0,0,1,0,0,0,train
train_positive_FP001396,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_12143,0,negative,none,0,0,0,0,0,0,0,train
test_negative_3274,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_2870,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2207,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000008,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP004473,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1968,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5599,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009609,1,positive,none,0,0,0,0,0,0,0,train
train_negative_6620,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16447,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP018253,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP008213,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP017339,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_14816,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP013306,1,positive,EGR1,1,0,0,1,0,0,0,train
test_negative_5309,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001047,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_10305,0,negative,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_11904,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP005096,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP008525,1,positive,none,0,0,0,0,0,0,0,train
train_negative_9749,0,negative,none,0,0,0,0,0,0,0,train
train_negative_178,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP003383,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11477,0,negative,EGR1,1,0,0,1,0,0,0,train
test_positive_FP014564,1,positive,EGR1,1,0,0,1,0,0,0,train
train_positive_FP004930,1,positive,none,0,0,0,0,0,0,0,train
test_negative_8542,0,negative,none,0,0,0,0,0,0,0,train
test_negative_10075,0,negative,ZBED4,1,0,1,0,0,0,0,train
test_negative_9176,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP004081,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2359,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3305,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP013167,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP019005,1,positive,EGR1,1,0,0,1,0,0,0,train
test_negative_10289,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_16048,0,negative,ELK3,1,0,0,0,1,0,0,train
train_positive_FP000403,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_5735,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13456,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP006420,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_11738,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14775,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_negative_6008,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14386,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14747,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3435,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP005079,1,positive,none,0,0,0,0,0,0,0,train
test_negative_2112,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10586,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_2528,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15924,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14760,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010028,1,positive,ELK3,1,0,0,0,1,0,0,train
test_positive_FP013986,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_4576,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16357,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16309,0,negative,none,0,0,0,0,0,0,0,train
train_negative_591,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP008298,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_15009,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP009081,1,positive,ELK3,1,0,0,0,1,0,0,train
train_negative_11549,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP009585,1,positive,ELK3,1,0,0,0,1,0,0,train
test_negative_10865,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006189,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP018098,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_14172,0,negative,none,0,0,0,0,0,0,0,train
test_negative_5278,0,negative,EGR1,1,0,0,1,0,0,0,train
train_positive_FP006750,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_6144,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1564,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_680,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14042,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001224,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_171,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11547,0,negative,ELK3,1,0,0,0,1,0,0,train
test_negative_3441,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14155,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012617,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003949,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_4241,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012784,1,positive,TFDP1,1,0,0,0,0,1,0,train
test_positive_FP018557,1,positive,none,0,0,0,0,0,0,0,train
train_negative_6925,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP017312,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_3873,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP011988,1,positive,none,0,0,0,0,0,0,0,train
test_negative_6174,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012578,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP010651,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_12833,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP003376,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP010062,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP006919,1,positive,none,0,0,0,0,0,0,0,train
test_negative_15865,0,negative,none,0,0,0,0,0,0,0,train
test_negative_6306,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001011,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_3381,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6854,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000563,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP010321,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_6001,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3839,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP001955,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP012766,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_6365,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14819,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_5318,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6912,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14346,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP001042,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_11232,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006384,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8630,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010828,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP017664,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_16412,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP018927,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
test_negative_2673,0,negative,none,0,0,0,0,0,0,0,train
test_negative_15996,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7803,0,negative,none,0,0,0,0,0,0,0,train
test_negative_16298,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15792,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010491,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_5043,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009655,1,positive,none,0,0,0,0,0,0,0,train
test_negative_1807,0,negative,none,0,0,0,0,0,0,0,train
test_negative_14821,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP002644,1,positive,none,0,0,0,0,0,0,0,train
train_negative_4362,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_253,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8643,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3671,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9042,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP014568,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_1945,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP009380,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12367,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15150,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_11872,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP009582,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP005557,1,positive,none,0,0,0,0,0,0,0,train
